gun,value,durum
2019-05-11,7001.0,Orta Aktivite
2019-05-12,7414.0,Orta Aktivite
2019-05-13,9691.0,Yüksek Aktivite
2019-05-14,10124.0,Yüksek Aktivite
2019-05-15,9596.0,Yüksek Aktivite
2019-05-16,3462.0,Düşük Aktivite
2019-05-17,13926.0,Yüksek Aktivite
2019-05-18,16946.0,Yüksek Aktivite
2019-05-19,12434.0,Yüksek Aktivite
2019-05-20,7804.0,Orta Aktivite
2019-05-21,3539.0,Düşük Aktivite
2019-05-22,5738.0,Orta Aktivite
2019-05-23,11059.0,Yüksek Aktivite
2019-05-24,8627.0,Orta Aktivite
2019-05-25,4071.0,Orta Aktivite
2019-05-26,3764.0,Düşük Aktivite
2019-05-27,12507.0,Yüksek Aktivite
2019-05-28,4962.0,Orta Aktivite
2019-05-29,10381.0,Yüksek Aktivite
2019-05-30,12113.0,Yüksek Aktivite
2019-05-31,21265.0,Yüksek Aktivite
2019-06-01,9609.0,Yüksek Aktivite
2019-06-02,17785.0,Yüksek Aktivite
2019-06-03,8519.0,Orta Aktivite
2019-06-04,8032.0,Orta Aktivite
2019-06-05,7179.0,Orta Aktivite
2019-06-06,4055.0,Orta Aktivite
2019-06-07,8696.0,Orta Aktivite
2019-06-08,10614.0,Yüksek Aktivite
2019-06-09,4614.0,Orta Aktivite
2019-06-10,1674.0,Düşük Aktivite
2019-06-11,12558.0,Yüksek Aktivite
2019-06-12,5863.0,Orta Aktivite
2019-06-13,6134.0,Orta Aktivite
2019-06-14,3856.0,Düşük Aktivite
2019-06-15,5790.0,Orta Aktivite
2019-06-16,4558.0,Orta Aktivite
2019-06-17,7003.0,Orta Aktivite
2019-06-18,7383.0,Orta Aktivite
2019-06-19,4869.0,Orta Aktivite
2019-06-20,6520.0,Orta Aktivite
2019-06-21,20708.0,Yüksek Aktivite
2019-06-22,25090.0,Yüksek Aktivite
2019-06-23,3383.0,Düşük Aktivite
2019-06-24,3143.0,Düşük Aktivite
2019-06-25,16543.0,Yüksek Aktivite
2019-06-26,5277.0,Orta Aktivite
2019-06-27,2960.0,Düşük Aktivite
2019-06-28,8176.0,Orta Aktivite
2019-06-29,12450.0,Yüksek Aktivite
2019-06-30,8925.0,Orta Aktivite
2019-07-01,3837.0,Düşük Aktivite
2019-07-02,4504.0,Orta Aktivite
2019-07-03,2784.0,Düşük Aktivite
2019-07-04,13847.0,Yüksek Aktivite
2019-07-05,1565.0,Düşük Aktivite
2019-07-06,7241.0,Orta Aktivite
2019-07-07,8023.0,Orta Aktivite
2019-07-08,1232.0,Düşük Aktivite
2019-07-09,3136.0,Düşük Aktivite
2019-07-10,1525.0,Düşük Aktivite
2019-07-11,12963.0,Yüksek Aktivite
2019-07-12,5928.0,Orta Aktivite
2019-07-13,14108.0,Yüksek Aktivite
2019-07-14,5077.0,Orta Aktivite
2019-07-15,6872.0,Orta Aktivite
2019-07-16,18007.0,Yüksek Aktivite
2019-07-17,3413.0,Düşük Aktivite
2019-07-18,13954.0,Yüksek Aktivite
2019-07-19,5002.0,Orta Aktivite
2019-07-20,4912.0,Orta Aktivite
2019-07-21,7171.0,Orta Aktivite
2019-07-22,13426.0,Yüksek Aktivite
2019-07-23,7301.0,Orta Aktivite
2019-07-24,4309.0,Orta Aktivite
2019-07-25,2542.0,Düşük Aktivite
2019-07-26,6804.0,Orta Aktivite
2019-07-27,4680.0,Orta Aktivite
2019-07-28,4052.0,Orta Aktivite
2019-07-29,964.0,Düşük Aktivite
2019-07-30,979.0,Düşük Aktivite
2019-07-31,3884.0,Düşük Aktivite
2019-08-01,2233.0,Düşük Aktivite
2019-08-02,9605.0,Yüksek Aktivite
2019-08-03,1647.0,Düşük Aktivite
2019-08-04,3242.0,Düşük Aktivite
2019-08-05,1543.0,Düşük Aktivite
2019-08-06,2111.0,Düşük Aktivite
2019-08-07,2458.0,Düşük Aktivite
2019-08-08,3805.0,Düşük Aktivite
2019-08-09,1433.0,Düşük Aktivite
2019-08-10,965.0,Düşük Aktivite
2019-08-11,7225.0,Orta Aktivite
2019-08-12,10771.0,Yüksek Aktivite
2019-08-13,12390.0,Yüksek Aktivite
2019-08-14,7942.0,Orta Aktivite
2019-08-15,2626.0,Düşük Aktivite
2019-08-16,13094.0,Yüksek Aktivite
2019-08-17,6259.0,Orta Aktivite
2019-08-18,6307.0,Orta Aktivite
2019-08-19,1335.0,Düşük Aktivite
2019-08-20,14561.0,Yüksek Aktivite
2019-08-21,7891.0,Orta Aktivite
2019-08-22,12895.0,Yüksek Aktivite
